iter	Passed	Remaining
0	3	1798
1	8	1860
2	11	1747
3	13	1583
4	16	1511
5	19	1463
6	22	1458
7	25	1437
8	27	1406
9	30	1372
10	32	1345
11	35	1334
12	40	1402
13	43	1383
14	45	1359
15	48	1345
16	50	1332
17	54	1350
18	55	1301
19	58	1291
20	60	1281
21	63	1272
22	65	1262
23	69	1271
24	72	1272
25	74	1263
26	77	1254
27	79	1244
28	82	1239
29	86	1245
30	88	1235
31	91	1230
32	93	1222
33	94	1200
34	98	1202
35	101	1206
36	104	1201
37	105	1177
38	107	1170
39	110	1167
40	112	1161
41	115	1165
42	118	1160
43	120	1153
44	123	1148
45	126	1145
46	128	1140
47	132	1147
48	134	1143
49	137	1137
50	139	1132
51	142	1127
52	145	1130
53	148	1130
54	151	1124
55	153	1120
56	156	1116
57	159	1113
58	162	1114
59	164	1110
60	167	1105
61	169	1101
62	172	1095
63	174	1091
64	178	1095
65	180	1090
66	183	1086
67	185	1082
68	188	1077
69	190	1074
70	194	1077
71	197	1073
72	199	1068
73	202	1064
74	204	1061
75	207	1060
76	210	1057
77	212	1053
78	215	1048
79	217	1044
80	220	1041
81	223	1041
82	226	1037
83	228	1034
84	231	1030
85	233	1025
86	235	1022
87	239	1021
88	241	1018
89	244	1015
90	246	1012
91	249	1007
92	251	1004
93	255	1004
94	257	999
95	259	995
96	262	992
97	264	988
98	267	985
99	271	987
100	273	984
101	276	981
102	279	978
103	282	976
104	285	977
105	288	973
106	290	970
107	293	966
108	295	963
109	296	955
110	300	954
111	302	951
112	305	948
113	307	944
114	310	941
115	312	938
116	316	937
117	318	934
118	321	931
119	323	927
120	326	924
121	328	921
122	332	920
123	334	917
124	337	914
125	339	911
126	342	908
127	344	905
128	348	905
129	350	901
130	353	898
131	356	895
132	358	893
133	363	893
134	365	890
135	368	888
136	370	885
137	373	881
138	376	879
139	379	878
140	382	875
141	384	872
142	387	869
143	389	866
144	392	864
145	395	861
146	398	858
147	400	855
148	403	852
149	405	849
150	409	848
151	411	845
152	414	842
153	417	839
154	419	836
155	422	833
156	426	833
157	428	829
158	430	826
159	433	823
160	435	820
161	439	819
162	442	816
163	444	813
164	447	810
165	449	806
166	452	804
167	455	802
168	457	799
169	460	796
170	463	793
171	465	789
172	467	786
173	471	785
174	473	782
175	476	779
176	479	776
177	481	774
178	484	770
179	487	769
180	489	766
181	492	762
182	494	760
183	497	757
184	500	754
185	503	752
186	505	749
187	508	746
188	510	743
189	513	740
190	516	738
191	519	735
192	521	732
193	524	729
194	527	727
195	529	723
196	532	722
197	534	717
198	536	715
199	539	711
200	542	709
201	544	706
202	547	704
203	550	701
204	552	698
205	554	695
206	557	692
207	560	689
208	563	687
209	566	684
210	568	681
211	571	679
212	573	676
213	576	673
214	579	671
215	582	668
216	584	665
217	620	700
218	623	697
219	626	694
220	629	691
221	638	696
222	642	693
223	644	690
224	647	687
225	650	685
226	653	682
227	655	678
228	658	675
229	660	672
230	663	669
231	666	666
232	668	663
233	671	659
234	673	656
235	676	653
236	679	650
237	682	648
238	685	644
239	687	641
240	690	638
241	692	635
242	695	632
243	699	630
244	701	627
245	704	624
246	707	621
247	709	618
248	713	616
249	716	612
250	718	609
251	721	606
252	723	603
253	726	600
254	729	598
255	732	595
256	734	592
257	737	588
258	739	585
259	743	583
260	746	580
261	748	577
262	751	574
263	754	571
264	756	568
265	760	565
266	762	562
267	765	559
268	767	556
269	770	553
270	773	550
271	775	547
272	778	544
273	780	541
274	783	538
275	786	535
276	789	533
277	792	530
278	794	527
279	797	524
280	800	521
281	802	518
282	806	515
283	808	512
284	811	509
285	813	506
286	815	503
287	818	500
288	819	496
289	822	493
290	824	490
291	827	487
292	829	484
293	832	481
294	836	479
295	839	476
296	841	473
297	844	470
298	846	467
299	847	463
300	850	460
301	853	457
302	855	454
303	858	451
304	860	448
305	863	445
306	866	442
307	868	440
308	871	437
309	872	433
310	874	430
311	877	427
312	880	424
313	883	421
314	885	418
315	888	416
316	890	413
317	893	410
318	897	407
319	899	404
320	901	401
321	904	398
322	907	396
323	909	393
324	913	390
325	915	387
326	918	384
327	921	381
328	923	378
329	926	376
330	929	373
331	931	370
332	934	367
333	936	364
334	939	361
335	941	358
336	945	356
337	947	353
338	949	350
339	952	347
340	954	344
341	957	341
342	959	338
343	962	335
344	964	332
345	967	329
346	970	327
347	973	324
348	975	321
