Crop,Model,R²,MSE,RMSE,MAE
Arecanut,Random Forest,0.7514145029933352,1.3915723334294,1.1796492416940725,0.6238780498511668
Arecanut,Gradient Boosting,0.7448972095376211,1.428055898927065,1.195012928351432,0.6773071856708501
Arecanut,XGBoost,0.6906880299506641,1.7315168628186657,1.3158711421786955,0.6109584773230555
Arecanut,CatBoost,0.7662696700815499,1.3084136625602127,1.1438591095760933,0.5743895302021532
Arecanut,SVM,0.7241726111591159,1.5440714270742697,1.2426067065142814,0.5907476565575334
Arecanut,MLP,0.6960766553666137,1.7013515388784324,1.3043586695684712,0.795655613839002
Arhar/Tur,Random Forest,0.8118058214944133,0.0192789402117771,0.138848623370119,0.1011259847203189
Arhar/Tur,Gradient Boosting,0.8037211479255407,0.0201071482870944,0.1417996766113889,0.1013283656985198
Arhar/Tur,XGBoost,0.7961802512693311,0.0208796509061058,0.144497926995877,0.1024890474990321
Arhar/Tur,CatBoost,0.8014117047421022,0.0203437316788314,0.1426314540304187,0.1010144634270693
Arhar/Tur,SVM,0.7824323725662305,0.0222880076026864,0.149291686314699,0.1108304146918183
Arhar/Tur,MLP,0.8437493007394369,0.0160065944282296,0.1265171704877627,0.0900762861061937
Castor seed,Random Forest,0.8853321578982819,0.0232647427027352,0.1525278423853667,0.1072734791029495
Castor seed,Gradient Boosting,0.8990392164148084,0.0204837433941806,0.1431214288434149,0.1008177729145155
Castor seed,XGBoost,0.8818309623655115,0.0239750936758495,0.1548389281668197,0.1087703844795074
Castor seed,CatBoost,0.8951386627196763,0.0212751193933466,0.1458599307326952,0.1047954056003481
Castor seed,SVM,0.8475564459742035,0.0309289858088952,0.1758663862393699,0.1220664734805156
Castor seed,MLP,0.8895305675421995,0.0224129352706238,0.1497095029402738,0.1023426747040782
Coconut,Random Forest,0.8261610379780329,2094859.827432484,1447.3630599930634,964.8028420864345
Coconut,Gradient Boosting,0.8230096933279972,2132835.3493348733,1460.423003562623,1053.4151237238857
Coconut,XGBoost,0.7846179324396496,2595478.2267079568,1611.048797121911,1047.4647002646263
Coconut,CatBoost,0.812495795615872,2259533.885098577,1503.1746023328683,1102.1099588707998
Coconut,SVM,0.6441033471110063,4288760.081072181,2070.9321768402224,1349.5464817318157
Coconut,MLP,0.8436171567665062,1884503.5208397112,1372.7722028216158,1002.183824557953
Cotton(lint),Random Forest,0.6360509157649137,0.4050541068122463,0.6364386119746713,0.4124439990849058
Cotton(lint),Gradient Boosting,0.6445487147518618,0.3955965520947713,0.6289646668094888,0.4022102255188937
Cotton(lint),XGBoost,0.6087178255753989,0.4354742422452046,0.6599047220964589,0.4251297457953314
Cotton(lint),CatBoost,0.7033519652255608,0.3301519634695782,0.5745885166530725,0.3969744571798899
Cotton(lint),SVM,0.6941730982685635,0.3403675071207704,0.583410239129183,0.3919090745427226
Cotton(lint),MLP,0.738665864624719,0.2908496527926702,0.539304786547153,0.3658163021710824
Dry chillies,Random Forest,0.522243521744546,2.65103059241857,1.628198572784834,0.8257649269760974
Dry chillies,Gradient Boosting,0.4827643755042682,2.8700970608162675,1.6941360809617,0.9147277206988698
Dry chillies,XGBoost,0.3284867156299884,3.72617084457096,1.9303292062679256,0.8376770694693835
Dry chillies,CatBoost,0.4666547586842423,2.959487972223636,1.7203162419228726,0.9220619433935902
Dry chillies,SVM,0.4772050818820862,2.900945114449068,1.7032161091444231,0.7194014363279438
Dry chillies,MLP,0.5273952912953519,2.6224438556480982,1.6193961391976015,0.8858362320862686
Gram,Random Forest,0.4327723539400768,0.0555121573260023,0.2356101808623777,0.1633764995741127
Gram,Gradient Boosting,0.4610587368621076,0.0527438893301483,0.2296603782330515,0.1556275607804393
